# index  mean  stderr
0.0000000000e+00 1.0000000000e+00 0.0000000000e+00
1.0000000000e+00 9.0595178200e-01 3.7766975999e-03
2.0000000000e+00 7.1776027888e-01 6.9957690422e-03
3.0000000000e+00 5.5006659675e-01 8.7444344274e-03
4.0000000000e+00 4.5031162183e-01 1.0104995103e-02
5.0000000000e+00 4.2218959567e-01 1.1896641143e-02
6.0000000000e+00 4.2301848362e-01 1.3297500748e-02
7.0000000000e+00 4.4221481031e-01 1.3925887466e-02
8.0000000000e+00 4.6357188933e-01 1.3391556529e-02
9.0000000000e+00 4.6688272684e-01 1.2504762919e-02
1.0000000000e+01 4.5976251708e-01 1.2782963150e-02
1.1000000000e+01 4.3841966260e-01 1.3256334396e-02
1.2000000000e+01 4.1913170614e-01 1.3758965825e-02
1.3000000000e+01 4.0970538738e-01 1.2961640563e-02
1.4000000000e+01 4.0993440267e-01 1.3216254271e-02
1.5000000000e+01 4.1260906263e-01 1.3180356728e-02
1.6000000000e+01 4.1517184268e-01 1.3064453364e-02
1.7000000000e+01 4.2151841234e-01 1.3319216410e-02
1.8000000000e+01 4.0699631144e-01 1.3718135863e-02
1.9000000000e+01 3.9385795383e-01 1.3336885420e-02
2.0000000000e+01 3.8007104100e-01 1.3244974309e-02
2.1000000000e+01 3.6231187442e-01 1.3025525173e-02
2.2000000000e+01 3.5829141097e-01 1.3283689406e-02
2.3000000000e+01 3.5542160204e-01 1.3649671929e-02
2.4000000000e+01 3.5836547093e-01 1.3241802150e-02
2.5000000000e+01 3.5530716150e-01 1.4083492609e-02
2.6000000000e+01 3.5105518397e-01 1.3378075857e-02
2.7000000000e+01 3.4703791871e-01 1.2937747786e-02
2.8000000000e+01 3.3520486537e-01 1.2782336191e-02
2.9000000000e+01 3.2242270488e-01 1.2429924740e-02
3.0000000000e+01 3.2033753210e-01 1.2633524419e-02
3.1000000000e+01 3.1427813165e-01 1.3058978786e-02
3.2000000000e+01 3.0316102256e-01 1.3038704574e-02
3.3000000000e+01 2.9445836038e-01 1.2455022141e-02
3.4000000000e+01 2.9378051126e-01 1.2209412658e-02
3.5000000000e+01 2.9201099758e-01 1.3639011961e-02
3.6000000000e+01 2.9452324099e-01 1.3669528277e-02
3.7000000000e+01 2.9020353463e-01 1.2878077813e-02
3.8000000000e+01 2.8505980401e-01 1.2206843379e-02
3.9000000000e+01 2.7221234261e-01 1.2126015485e-02
4.0000000000e+01 2.6485588417e-01 1.1804629900e-02
4.1000000000e+01 2.5570468634e-01 1.1458759668e-02
4.2000000000e+01 2.4858165337e-01 1.2123213868e-02
4.3000000000e+01 2.4495885106e-01 1.3136985264e-02
4.4000000000e+01 2.4463696139e-01 1.4078526558e-02
4.5000000000e+01 2.5009533814e-01 1.4024438595e-02
4.6000000000e+01 2.5239351313e-01 1.3180249837e-02
4.7000000000e+01 2.5651906262e-01 1.2293384637e-02
4.8000000000e+01 2.4889861844e-01 1.1925145225e-02
4.9000000000e+01 2.4496233939e-01 1.1867041806e-02
5.0000000000e+01 2.4527195919e-01 1.1768540915e-02
5.1000000000e+01 2.4956029524e-01 1.1766455624e-02
5.2000000000e+01 2.4661574155e-01 1.1565954252e-02
5.3000000000e+01 2.3731256803e-01 1.0890779824e-02
5.4000000000e+01 2.2207171669e-01 1.1663474575e-02
5.5000000000e+01 2.1731190299e-01 1.2075557359e-02
5.6000000000e+01 2.1851707169e-01 1.1760256041e-02
5.7000000000e+01 2.2179461695e-01 1.0616759108e-02
5.8000000000e+01 2.2415990182e-01 1.0810520737e-02
5.9000000000e+01 2.2617404211e-01 1.0761577464e-02
6.0000000000e+01 2.1951025717e-01 1.1089213762e-02
6.1000000000e+01 2.1506600955e-01 1.1168945314e-02
